15:51:02: Всего строк:  68
15:53:48: {'Kodeks': '1700781997', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:49: {'Kodeks': '1700787665', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:49: {'Kodeks': '1700792697', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:49: {'Kodeks': '1700783346', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:50: {'Kodeks': '1700742153', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:50: {'Kodeks': '1700792904', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:50: {'Kodeks': '1700784709', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:50: {'Kodeks': '1700788600', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:51: {'Kodeks': '1700784487', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:51: {'Kodeks': '1700789396', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:51: {'Kodeks': '1700785121', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:52: {'Kodeks': '1700789995', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:52: {'Kodeks': '1700781675', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:52: {'Kodeks': '1700785992', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:52: {'Kodeks': '1700790807', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:53: {'Kodeks': '1700786439', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:53: {'Kodeks': '1700791360', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:53: {'Kodeks': '1700775988', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:54: {'Kodeks': '1700784254', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:53:54: {'Kodeks': '1700789922', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:53:54: {'Kodeks': '1700782206', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
